Region,Alliance,Rank,Votes,Result,Candidate,Party,Constituency,SeatsWon,rcount_BJP_cong_jds_nota,ResultMinority
Bengaluru Karnataka,Others_a,5th and above,125,Lost_,AMARESH.Y,Independent,Anekal,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,NOTA_a,4th,2115,Lost_,None of the Above,NOTA,Anekal,0,1,Lost - had less than 20% votes
Bombay Karnataka,BJP,1st,96144,Won_,BALACHANDRA LAKSHMANARAO JARAKIHOLI,Bharatiya Janata Party,Arabhavi,1,1,Won - had more than 50% votes
Bombay Karnataka,Cong-JDS,2nd,48816,Lost_,BHIMAPPA GUNDAPPA GADAD,Janata Dal (Secular),Arabhavi,0,1,Lost
Bombay Karnataka,Cong-JDS,3rd,23253,Lost_,ARVIND MAHADEVRAO DALWAI,Indian National Congress,Arabhavi,0,1,Lost - had less than 20% votes
Bombay Karnataka,Others_a,4th,2962,Lost_,CHUNAPPA UDDAPPA PUJERI,Independent,Arabhavi,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,1745,Lost_,ASHOK P HANAJI,Sarva Janata Party,Arabhavi,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,1161,Lost_,BHIMAPPA SIDDAPPA NAIK,Independent,Arabhavi,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,830,Lost_,SHANKARGOUDA NINGANNGOUDA PADESUR,All India Mahila Empowerment Party,Arabhavi,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,627,Lost_,LAXMAN BASAPPA TOLI,Shivsena,Arabhavi,0,0,Lost - had less than 20% votes
Bombay Karnataka,NOTA_a,5th and above,1398,Lost_,None of the Above,NOTA,Arabhavi,0,1,Lost - had less than 20% votes
Southern Karnataka,Cong-JDS,1st,85064,Won_,A. T. RAMASWAMY,Janata Dal (Secular),Arkalgud,1,1,Won
Southern Karnataka,Cong-JDS,2nd,74411,Lost_,MANJU .A,Indian National Congress,Arkalgud,0,1,Lost
Southern Karnataka,BJP,3rd,22679,Lost_,H. YOGARAMESHA,Bharatiya Janata Party,Arkalgud,0,1,Lost - had less than 20% votes
Southern Karnataka,Others_a,4th,3559,Lost_,SHESHEGOWDA,Indian New Congress Party,Arkalgud,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,1035,Lost_,MANJUNATHA .H .P,Bharatiya Dr. B.R.Ambedkar Janta Party,Arkalgud,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,486,Lost_,H. T. SATHYA,All India Mahila Empowerment Party,Arkalgud,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,481,Lost_,LATHA .K .M,Republican Party of India (A),Arkalgud,0,0,Lost - had less than 20% votes
Southern Karnataka,NOTA_a,5th and above,1189,Lost_,None of the Above,NOTA,Arkalgud,0,1,Lost - had less than 20% votes
Southern Karnataka,Cong-JDS,1st,93986,Won_,K.M SHIVALINGE GOWDA,Janata Dal (Secular),Arsikere,1,1,Won - had more than 50% votes
Southern Karnataka,Cong-JDS,2nd,50297,Lost_,G.B.SHASHIDHARA,Indian National Congress,Arsikere,0,1,Lost
Southern Karnataka,BJP,3rd,25258,Lost_,G. MARISWAMY,Bharatiya Janata Party,Arsikere,0,1,Lost - had less than 20% votes
Southern Karnataka,Others_a,4th,1354,Lost_,N.C CHANDRASHEKARA,Republican Party of India (A),Arsikere,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,539,Lost_,JAGADISHA C.B,Samanya Janatha Party (Loktantrik),Arsikere,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,446,Lost_,SHAHEEN,All India Mahila Empowerment Party,Arsikere,0,0,Lost - had less than 20% votes
Southern Karnataka,NOTA_a,5th and above,1079,Lost_,None of the Above,NOTA,Arsikere,0,1,Lost - had less than 20% votes
Bombay Karnataka,Cong-JDS,1st,82094,Won_,MAHESH IRANAGOUDA KUMATHALLI,Indian National Congress,Athani,1,1,Won
Bombay Karnataka,BJP,2nd,79763,Lost_,LAXMAN SANGAPPA SAVADI,Bharatiya Janata Party,Athani,0,1,Lost
Bombay Karnataka,Cong-JDS,3rd,3381,Lost_,GIRISH KEDAREPPA BUTALI,Janata Dal (Secular),Athani,0,1,Lost - had less than 20% votes
Bombay Karnataka,Others_a,4th,912,Lost_,MAHAVEER DASHARATH MANOJI,All India Mahila Empowerment Party,Athani,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,880,Lost_,RAJESH BABU SHINGE,Independent,Athani,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,827,Lost_,NINGAPPA SUBHAS GURAV,Praja Parivartan Party,Athani,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,725,Lost_,SHIVAMALLAPPA BASAPPA KULALI,Independent,Athani,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,541,Lost_,ARJUN BHAGAVANT PATIL,Independent,Athani,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,210,Lost_,MEHABUB ASLAM SHAIKH,Bahujan Mukti Party,Athani,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,207,Lost_,VITTHAL NINGAPPA PUJARI,Namma Congress,Athani,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,183,Lost_,BASAPPA KALLAPPA HANCHINAL,Hindustan Janta Party,Athani,0,0,Lost - had less than 20% votes
Bombay Karnataka,NOTA_a,5th and above,842,Lost_,None of the Above,NOTA,Athani,0,1,Lost - had less than 20% votes
Hyderabad Karnataka,BJP,1st,75061,Won_,PRABHU CHAUHAN,Bharatiya Janata Party,Aurad,1,1,Won - had more than 50% votes
Hyderabad Karnataka,Cong-JDS,2nd,64469,Lost_,VIJAYKUMAR,Indian National Congress,Aurad,0,1,Lost
Hyderabad Karnataka,Cong-JDS,3rd,2605,Lost_,DHANAJI,Janata Dal (Secular),Aurad,0,1,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,4th,1233,Lost_,ANAND,BhartiyaBahujanKranti Dal,Aurad,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,950,Lost_,PRAMODKUMAR,All India Mahila Empowerment Party,Aurad,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,653,Lost_,SANTOSH,Independent,Aurad,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,554,Lost_,ROSHAN,Shivsena,Aurad,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,553,Lost_,CHANDAR,Independent,Aurad,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,367,Lost_,DILIPKUMAR,Sarva Janata Party,Aurad,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,NOTA_a,5th and above,964,Lost_,None of the Above,NOTA,Aurad,0,1,Lost - had less than 20% votes
Bengaluru Karnataka,Cong-JDS,1st,67085,Won_,RAMALINGA REDDY,Indian National Congress,B.T.M.Layout,1,1,Won
Bengaluru Karnataka,BJP,2nd,46607,Lost_,LALLESH REDDY,Bharatiya Janata Party,B.T.M.Layout,0,1,Lost
Bengaluru Karnataka,Cong-JDS,3rd,17307,Lost_,K DEVADAS,Janata Dal (Secular),B.T.M.Layout,0,1,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,701,Lost_,DR. SYED ASAD ABBAS (M C ABBAS),Aam Aadmi Party,B.T.M.Layout,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,497,Lost_,N KRISHNOJI RAO,Bhaarateeya Janashakthi Congress,B.T.M.Layout,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,333,Lost_,SATISH BABU S N,Independent,B.T.M.Layout,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,262,Lost_,KUMARI. JAYALAKSHMI B V,All India Mahila Empowerment Party,B.T.M.Layout,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,194,Lost_,SEEMA KOWSER,Karnataka Pragnyavantha Janatha Party,B.T.M.Layout,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,181,Lost_,SHABRIN,Independent,B.T.M.Layout,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,107,Lost_,PRADEEP MENDONCA,Independent,B.T.M.Layout,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,103,Lost_,YASHWANT NAIK,Independent,B.T.M.Layout,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,102,Lost_,BRAHMANANDA N,Independent,B.T.M.Layout,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,88,Lost_,M MUNESHWARA,Republican Sena,B.T.M.Layout,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,NOTA_a,4th,2365,Lost_,None of the Above,NOTA,B.T.M.Layout,0,1,Lost - had less than 20% votes
Bombay Karnataka,Cong-JDS,1st,98339,Won_,MALLANAGOUD BASANAGOUD PATIL,Indian National Congress,Babaleshwar,1,1,Won - had more than 50% votes
Bombay Karnataka,BJP,2nd,68624,Lost_,VIJAYAKUMAR SIDRAMGOUDA PATIL,Bharatiya Janata Party,Babaleshwar,0,1,Lost
Bombay Karnataka,Others_a,4th,925,Lost_,SAMBHAJI KRISHNA GAYAKAWAD,Independent,Babaleshwar,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,778,Lost_,BHAVARAMMA SHIVANAND JANAWAD,All India Mahila Empowerment Party,Babaleshwar,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,308,Lost_,SANGAYYA SHARANAYYA MARIMATH,Independent,Babaleshwar,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,218,Lost_,SANGAPPA GURAPPA INDI,Independent,Babaleshwar,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,161,Lost_,MANJULA KISHAN CHAVAN,Jana Samanyara Party (Karnataka),Babaleshwar,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,153,Lost_,SANGAYYA SHANKARAYYA HIREMATH,Shivsena,Babaleshwar,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,110,Lost_,MAHADEVI DHARMAPPA NATIKAR,Independent,Babaleshwar,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,85,Lost_,SUNIL GORAKHANATH KATAKAR,Independent,Babaleshwar,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,81,Lost_,LAKSMIBAYI SHIVAPPA GUDDI,Independent,Babaleshwar,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,77,Lost_,RAVI SHIVAPPA PADASALAGI,Independent,Babaleshwar,0,0,Lost - had less than 20% votes
Bombay Karnataka,NOTA_a,3rd,1786,Lost_,None of the Above,NOTA,Babaleshwar,0,1,Lost - had less than 20% votes
Bombay Karnataka,Cong-JDS,1st,67599,Won_,SIDDARAMAIAH,Indian National Congress,Badami,1,1,Won
Bombay Karnataka,BJP,2nd,65903,Lost_,B SREERAMULU,Bharatiya Janata Party,Badami,0,1,Lost
Bombay Karnataka,Cong-JDS,3rd,24484,Lost_,HANAMANT MAVINAMARAD,Janata Dal (Secular),Badami,0,1,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,1235,Lost_,SOMASHEKHAR BASAPPA BARAGUNDI,Independent,Badami,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,806,Lost_,SHANKRAPPA GOUDAR,Independent,Badami,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,663,Lost_,DONGRISAB LALSAB NADAF,Indian New Congress Party,Badami,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,348,Lost_,RAVI KULKARNI,Rani Chennamma Party,Badami,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,258,Lost_,PUTTAIAH T,Independent,Badami,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,166,Lost_,TULASAPPA DASAR,Independent,Badami,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,145,Lost_,GIRISH ANKALAGI,Independent,Badami,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,120,Lost_,NILESH IRAPPA BANNUR,Jana Samanyara Party (Karnataka),Badami,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,109,Lost_,DAYANAND KULAKARNI,Independent,Badami,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,82,Lost_,SIDDAPPA GODI,Independent,Badami,0,0,Lost - had less than 20% votes
Bombay Karnataka,NOTA_a,4th,2007,Lost_,None of the Above,NOTA,Badami,0,1,Lost - had less than 20% votes
Bombay Karnataka,BJP,1st,85653,Won_,VEERABHADRAYYA (VEERANNA) CHARANTIMATH,Bharatiya Janata Party,Bagalkot,1,1,Won - had more than 50% votes
Bombay Karnataka,Cong-JDS,2nd,69719,Lost_,METI HULLAPPA YAMANAPPA,Indian National Congress,Bagalkot,0,1,Lost
Bombay Karnataka,Others_a,4th,996,Lost_,MOHAN MALLIKARJUAN JIGALUR,Bahujan Samaj Party,Bagalkot,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,931,Lost_,PARASHURAM LAXMAN NEELNAIK,Bharatiya Republican Paksha,Bagalkot,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,756,Lost_,MOHAMMEDSALEEM DONGRISAB PATHAN,Independent,Bagalkot,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,388,Lost_,HIREAMATH VEERABHADRAYYA RUDRAYYA,Independent,Bagalkot,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,236,Lost_,MALLINATH IRANNAYYA HIREMATH,Praja Parivartan Party,Bagalkot,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,227,Lost_,MANOHAR SOMAPPA METI,Independent,Bagalkot,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,201,Lost_,AMARASAB NOORSAB PUNEKAR,Independent,Bagalkot,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,182,Lost_,MOSHEENKHAN MUNIRAAHMAD KHAJI,Indian New Congress Party,Bagalkot,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,171,Lost_,BABUSHA DASTAGIRASAB ROLLI URF R.D BABU,Independent,Bagalkot,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,149,Lost_,NAGARAJ SHIVAPUTRAPPA KALAKUTAGAR,Independent,Bagalkot,0,0,Lost - had less than 20% votes
Bombay Karnataka,NOTA_a,3rd,1902,Lost_,None of the Above,NOTA,Bagalkot,0,1,Lost - had less than 20% votes
Southern Karnataka,Cong-JDS,1st,65710,Won_,S.N. SUBBAREDDY(CHINNAKAYALAPALLI),Indian National Congress,Bagepalli,1,1,Won
Southern Karnataka,Others_a,2nd,51697,Lost_,G.V. SREERAMAREDDY,Communist Party of India (Marxist),Bagepalli,0,0,Lost
Southern Karnataka,Cong-JDS,3rd,38302,Lost_,DR. C. R. MANOHAR,Janata Dal (Secular),Bagepalli,0,1,Lost
Southern Karnataka,BJP,4th,4140,Lost_,SAIKUMAR. P.,Bharatiya Janata Party,Bagepalli,0,1,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,851,Lost_,TAHSEEN TAJ,Samajwadi Party,Bagepalli,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,845,Lost_,GUNJURU R SRINIVASAREDDY,Independent,Bagepalli,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,720,Lost_,A. N. NARENDRA MELINA APPIREEDY HALLI,Independent,Bagepalli,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,424,Lost_,T. S .SOMASHEKAR,Independent,Bagepalli,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,300,Lost_,T. RAMAPPA,Independent,Bagepalli,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,190,Lost_,R. MUNIRAJU.,Samanya Janatha Party (Loktantrik),Bagepalli,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,155,Lost_,UTTAMKUMAR. V,Independent,Bagepalli,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,141,Lost_,V. NARASIMHAMURTHY,Lok Awaz Dal,Bagepalli,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,133,Lost_,S. N. GOVINDAREDDY.,Independent,Bagepalli,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,126,Lost_,H. N. RAMAKRISHNA REDDY,Pyramid Party of India,Bagepalli,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,114,Lost_,B. A. BABAJAN,All India Mahila Empowerment Party,Bagepalli,0,0,Lost - had less than 20% votes
Southern Karnataka,NOTA_a,5th and above,680,Lost_,None of the Above,NOTA,Bagepalli,0,1,Lost - had less than 20% votes
Bombay Karnataka,Cong-JDS,1st,47040,Won_,KOUJALAGI. MAHANTESH. SHIVANAND.,Indian National Congress,Bailhongal,1,1,Won
Bombay Karnataka,Others_a,2nd,41918,Lost_,JAGDISH. CHANNAPPA METGUD,Independent,Bailhongal,0,0,Lost
Bombay Karnataka,BJP,3rd,37498,Lost_,VISHWANATH IRANAGOUDA PATIL,Bharatiya Janata Party,Bailhongal,0,1,Lost
Bombay Karnataka,Cong-JDS,4th,13548,Lost_,SHANKAR. BHARAMAPPA. MADALAGI,Janata Dal (Secular),Bailhongal,0,1,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,1767,Lost_,SUNIL. L. GUDDAKAYU.,Independent,Bailhongal,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,984,Lost_,DURAGAMMA BASAPPA YARAZARAVI,All India Mahila Empowerment Party,Bailhongal,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,693,Lost_,MAHADEV SOMAPPA. KARABASANNAVAR,Independent,Bailhongal,0,0,Lost - had less than 20% votes
Bombay Karnataka,NOTA_a,5th and above,1352,Lost_,None of the Above,NOTA,Bailhongal,0,1,Lost - had less than 20% votes
Bengaluru Karnataka,BJP,1st,152469,Won_,M KRISHNAPPA,Bharatiya Janata Party,Bangalore South,1,1,Won
Bengaluru Karnataka,Cong-JDS,2nd,122052,Lost_,R K RAMESH,Indian National Congress,Bangalore South,0,1,Lost
Bengaluru Karnataka,Cong-JDS,3rd,36164,Lost_,R PRABHAKAR REDDY,Janata Dal (Secular),Bangalore South,0,1,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,823,Lost_,K ABHISHEK,AARAKSHAN VIRODHI PARTY,Bangalore South,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,735,Lost_,D K SHIVASHANKAR,Independent,Bangalore South,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,644,Lost_,SREENIVASU,Independent,Bangalore South,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,479,Lost_,ANBU,Independent,Bangalore South,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,415,Lost_,SIRAJUDDIN,All India Mahila Empowerment Party,Bangalore South,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,377,Lost_,M KRISHANAPPA,Independent,Bangalore South,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,346,Lost_,CHAND BHASHA,Republican Sena,Bangalore South,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,343,Lost_,R RAJESH,Independent,Bangalore South,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,274,Lost_,MANJUNATH K H,Independent,Bangalore South,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,207,Lost_,V CHETHAN,Kannada Paksha,Bangalore South,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,191,Lost_,APPAJI GOWDA,Independent,Bangalore South,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,NOTA_a,4th,15829,Lost_,None of the Above,NOTA,Bangalore South,0,1,Lost - had less than 20% votes
Southern Karnataka,Cong-JDS,1st,70871,Won_,S.N.NARAYANASWAMY K.M,Indian National Congress,Bangarapet,1,1,Won
Southern Karnataka,Cong-JDS,2nd,49300,Lost_,M.MALLESH BABU,Janata Dal (Secular),Bangarapet,0,1,Lost
Southern Karnataka,BJP,3rd,33555,Lost_,VENKATAMUNIYAPPA B.P.,Bharatiya Janata Party,Bangarapet,0,1,Lost
Southern Karnataka,Others_a,5th and above,404,Lost_,G.CHIKKANARAYANA,Republican Sena,Bangarapet,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,354,Lost_,C.VENKATESHAPPA,Independent,Bangarapet,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,313,Lost_,K.M RAMAKRISHNAPPA,Independent,Bangarapet,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,312,Lost_,SRINIVASA,All India Mahila Empowerment Party,Bangarapet,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,299,Lost_,M.NARAYANASWAMY,Independent,Bangarapet,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,169,Lost_,VENKATESH,Independent,Bangarapet,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,150,Lost_,R.RAJENDRA,Independent,Bangarapet,0,0,Lost - had less than 20% votes
Southern Karnataka,NOTA_a,4th,1127,Lost_,None of the Above,NOTA,Bangarapet,0,1,Lost - had less than 20% votes
Coastal Karnataka,BJP,1st,97802,Won_,RAJESH NAIK U.,Bharatiya Janata Party,Bantval,1,1,Won - had more than 50% votes
Coastal Karnataka,Cong-JDS,2nd,81831,Lost_,B RAMANATHA RAI,Indian National Congress,Bantval,0,1,Lost
Coastal Karnataka,Others_a,4th,760,Lost_,SHAMEER,All India Mahila Empowerment Party,Bantval,0,0,Lost - had less than 20% votes
Coastal Karnataka,Others_a,5th and above,713,Lost_,BALAKRISHNA POOJARY PANOLIBAIL,Lok Awaz Dal,Bantval,0,0,Lost - had less than 20% votes
Coastal Karnataka,Others_a,5th and above,503,Lost_,IBRAHIM KAILAR,Independent,Bantval,0,0,Lost - had less than 20% votes
Coastal Karnataka,NOTA_a,3rd,946,Lost_,None of the Above,NOTA,Bantval,0,1,Lost - had less than 20% votes
Hyderabad Karnataka,Cong-JDS,1st,61425,Won_,B. NARAYANRAO,Indian National Congress,Basavakalyan,1,1,Won
Hyderabad Karnataka,BJP,2nd,44153,Lost_,MALLIKARJUN SON OF SIDRAMAPPA KHUBA,Bharatiya Janata Party,Basavakalyan,0,1,Lost
